figures : ojlstzi
bonuses : dhbkagq
actions : dhbkagq

N    code  bonuses  gain_bonuses  avoid_actions

01 - olli  d        ddd
02 - sitz  dh       hhh
03 - joli  dhk      kkk
04 - lozi  dhk      dddhhhkkk
05 - lilo  dhkb     bbb
06 - stol  dhkbq    qqq
07 - lots  dhkbqa   a
08 - jozi  dhkbqag  g
09 - titi  dhkbqag  dhkbqag
10 - jits  b        b             d
11 - itti  b        b             h
12 - loss  b        b             dh
13 - ziss  q        q             d
14 - soto  q        q             h
15 - otto  q        q             dh
16 - sizi  bq       bq            dhk
17 - osti  a        a             dhk
18 - jozz  g        g             dhk
19 - lili  dhkbqa   a             g
20 - jilz  k        k             q
21 - osti  dh       dh            q
22 - sszz  dhk      dhk           q
33 - sliz  k        k             b
24 - sisi  dh       dh            b
25 - lost  dhk      dhk           b
26 - list  dhkba    a             qg
27 - joil  dhkqa    a             bg
28 - soil  dhkbqg   g             a
29 - ozzi  kg       g             aqdh
30 - sito  kg       g             abdh
